index,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,description,mls,type,full_link,full_address,lat,long,city_district
10,"107 Grandravine Dr, Toronto (W4721140) | Zoocasa",780000,799000,3 + 2 beds,2 baths,1100–1500 sq. ft.,2 parking,"Lovely Raised Semi Bunglow With 3 Separate Entrances. Sunny South Facing Backyard On A 30 X 154 Ft Irregular Shaped Lot Overlooking Grandravine Park/ Community Centre/ Arena. Short Walk To Schools, Shops And Transit. This Home Can Accommodate Large Families With The 2 Kitchen And Washrooms. Features Include: Newer Gas Furnace, Above Ground Basement Windows, Renovated Basement Washroom And Circuit Breaker Panel.",W4721140,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6742731-107-grandravine-dr-toronto-on-m3j1b3-vow,"107 Grandravine Dr, Toronto , Ontario, Canada",43.7525979,-79.4927472,
11,"326 Connaught Ave, Toronto (C4730449) | Zoocasa",1283000,1299000,3 + 1 beds,2 baths,N/A sq. ft.,4 parking,"Great Opportunity To Live In Or Invest!! $1700 Per Month Income From Just Lower Floor Pays Your Mortgage! Bright &Clean 3+1 Bedroom Raised Bungalow On A Premium 50'X132' Lot, Stunning Sun-Filled Walk-Out Basement Apartment. Glimmering New Flooring, 2Kitchens W/Full Appliances &Eating Areas, 2 Separate Laundries. Hardwood Through Out,Freshly Painted,Private Deck&Patio In A Flat&Clean Land.",C4730449,Detached,https://www.zoocasa.com/toronto-on-real-estate/6764017-326-connaught-ave-toronto-on-m2r2l9-vow,"326 Connaught Ave, Toronto , Ontario, Canada",43.7859395,-79.4343684,
12,"25 Thimble Berry Way, Toronto (C4722282) | Zoocasa",750000,788000,3 beds,3 baths,1800–1999 sq. ft.,1 parking,"Great Value For A Clean Spacious End Townhome. Well Maintained Complex In High Demand Location. Close To All Amenities, Hwy. & Good Schools: A Y Jackson S.S & Cliffwood P.S.Buses To Don Mills Finch Station Large Master Bedroom His & Hers & En-Suite Washroom. Formal Living & Dining Rooms. Bright And Walk To Balcony, Gas Heated. Granite Counter In The Kitchen And Three Bathrooms. 4 Bedrooms Can Get Sun. The Kitchen Is New /Sunny/Bright/Potential Expanding.",C4722282,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6745068-25-thimble-berry-way-toronto-on-m2h3k6-vow,"25 Thimble Berry Way, Toronto , Ontario, Canada",43.809491,-79.3609989,
13,"3303 - 65 St Mary St, Toronto (C4734663) | Zoocasa",926000,950000,1 + 1 beds,1 baths,600–699 sq. ft.,1 parking,"* Amazing One Bed + Den With 126 Sf Of Terrace * 611 Sf Of Interior Living Space * 9' Ceiling * Built-In Appliances * 4 Pcs Bath With Soaker Tub * White Quartz Countertop * Frost Glass Sliding Doors For Bedroom And Den * Mirrored Sliding Doors For All Closets * Works Like A 2 Bedroom * Well Kept * 10 Mins Walk To U Of T * The Most Breathtaking View In The City * Rare Parking Spot * Ample Visitor Parking * Walk To Yorkville Shopping, Ttc, Bloor St, U Of T *",C4734663,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6773038-3303-65-st-mary-st-toronto-on-m5s0a5-vow," 65 St Mary St, Toronto , Ontario, Canada",43.6672109,-79.3891532,
14,"28 Mcmorrow Crt, Toronto (E4716130) | Zoocasa",965000,999000,4 beds,3 baths,N/A sq. ft.,4 parking,"Absolutely Stunning 4 Bedroom Home In A Quiet Cul-De-Sac, 2 Bay Windows, Lots Of Light In All 3 Sides Of The House, Bright, Open Concept, All Hardwood Floors, M/F Family Room, Kitchen Has Granite Counters, Top Of The Line Appliances, Direct Access To Garage, Toilets Replaced, Crystal Washroom Lights",E4716130,Detached,https://www.zoocasa.com/toronto-on-real-estate/6730770-28-mcmorrow-crt-toronto-on-m1e5h9-vow,"28 Mcmorrow Crt, Toronto , Ontario, Canada",43.7726603,-79.1629001,
15,"32 Vanbrugh Ave, Toronto (E4730101) | Zoocasa",740000,750000,2 + 1 beds,2 baths,700–1100 sq. ft.,3 parking,"Stunning Cliffside Village Starter Home* Open Concept Main Floor With Granite Kitchen & Stainless Steel Appliances* 2 Newer Bathrooms* Main Floor Laundry* Great Bsmt In Law Suite With Own Entrance, Kitchen With Granite Counters, Spa Like Bath & Laundry* Updated Mechanics With Modern High End Finishes This Home Is In Move In Condition! Oversized 25X20 Ft Garage With Power And Gas Line For Heat* Steps To Go Train, Ttc, Shopping And 20 Minutes To Downtown!!",E4730101,Detached,https://www.zoocasa.com/toronto-on-real-estate/6762924-32-vanbrugh-ave-toronto-on-m1n3s9-vow,"32 Vanbrugh Ave, Toronto , Ontario, Canada",43.7076886,-79.2544755,
16,"1010 Briar Hill Ave, Toronto (W4734546) | Zoocasa",1050000,899000,3 beds,3 baths,N/A sq. ft.,2 parking,"Incredible Opportunity To Own A Lovingly Maintained Detached Home In The Heart Of The City!!! Great Curb Appeal, Spacious Floor Plan, Including 3 Beds, 3 Baths, Large Family Room With Walk-Out To Multi-Functional Sunroom. Finished Basement Apartment With Separate Entrance, Double Private Driveway With Double Car Garage.",W4734546,Detached,https://www.zoocasa.com/toronto-on-real-estate/6773525-1010-briar-hill-ave-toronto-on-m6b1m3-vow,"1010 Briar Hill Ave, Toronto , Ontario, Canada",43.7037694,-79.4469407,
17,"252 Roselawn Ave, Toronto (C4734630) | Zoocasa",1235000,1199000,3 beds,2 baths,1500–2000 sq. ft.,1 parking,"To Say This Midtown Semi Is In A Sweet Spot Would Be An Understatement! Located In The Coveted Allenby School District, This Home Is Located Directly Across From 22-Acre Eglinton Park And Less Than A 15-Minute Walk To Eglinton Station And A Vast Number Of Amenities. Hardwood Flooring Throughout. Open Concept Living/Dining. Kitchen With Caesarstone Countertops. Three-Level Extension With Fully-Finished Dug Out Lower Level. Private Rear Yard. Impeccable!",C4734630,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6773317-252-roselawn-ave-toronto-on-m4r1e9-vow,"252 Roselawn Ave, Toronto , Ontario, Canada",43.7094914,-79.4070197,
18,"108 Norton Ave, Toronto (C4732755) | Zoocasa",1700000,1588000,4 + 1 beds,2 baths,N/A sq. ft.,4 parking,"Location! Location! Location!!! ***Walking Distance To Yonge St, Ttc Subway, Earl Haig S.S & Mckee P.S***, Updated Charming Brick 4 Bedroom 1 1/2 Storey Home Newer Windows, Brand New Kitchen W Caesarstone Countertops, Refinished Floors, Freshly Painted Walls, Great Investment Opportunity In Most Desirable Part Of Highly Sought-After Willowdale East Among Mostly Custom Built Multi-Million $$$ Homes. Endless Potentials!!!",C4732755,Detached,https://www.zoocasa.com/toronto-on-real-estate/6769435-108-norton-ave-toronto-on-m2n4a5-vow,"108 Norton Ave, Toronto , Ontario, Canada",43.7736478,-79.4069647,
19,"24 Creekside Rd, Toronto (C4731304) | Zoocasa",1980000,1799800,4 + 1 beds,5 baths,N/A sq. ft.,2 parking,"Magnificent & Unique Architecturally Designed Home. Experience The Joy Of Living In This Luxury Home In A Quiet Cul-De-Sac. Amazingly Updated 4,471 Sq Ft (Per Mpac) W/ Almost 6,000 Sq Ft Of Living Space. Dramatic Living Rm W/18 Ft Ceiling & Floor-Ceiling Windows.Gorgeous Modern Kitchen Open Concept W/Family Rm & W/O To The Multi Tier Deck. 3 Amazingly Renovated Full Baths Upstairs. Master Suite Has 2 W/I Closets & W/O To Balcony Overlooking The Private Yard.",C4731304,Detached,https://www.zoocasa.com/toronto-on-real-estate/6766000-24-creekside-rd-toronto-on-m2m4e1-vow,"24 Creekside Rd, Toronto , Ontario, Canada",43.8013293,-79.3972566,
20,"310 Wright Ave, Toronto (W4712185) | Zoocasa",1800000,1999000,4 beds,3 baths,2500–3000 sq. ft.,4 parking,Walk To High Park From This Fantastic Renovated Duplex In One Of The Finest And Family Friendly Neighbourhoods. Currenty Functioning As Two Spacious Units. Unfinished Basement With Walk Out Offers Tremendous Potential. Not To Be Missed!,W4712185,Detached,https://www.zoocasa.com/toronto-on-real-estate/6721704-310-wright-ave-toronto-on-m6r1l9-vow,"310 Wright Ave, Toronto , Ontario, Canada",43.6443824,-79.4551909,
21,"61 Bowan Crt, Toronto (C4697317) | Zoocasa",2738000,2880000,5 + 1 beds,7 baths,N/A sq. ft.,3 parking,"Proudly Launched By Luxe Pro Team! Your Dream Home!Nice Open Concept Hall!18 Ft High Ceiling!Exclusive Bowan Estates. Nestled In A Quiet Ravine-Like Setting, High-Quality Custom Built, 5200 Sf With 5 Ensuite Bedrooms. Gourmet Kitchen, 2400 Sf Of Finished Basement With Wet Bar And Walk Up To A Privacy Back-Yard With Salt Pool, Hot Tub And Waterfall. Well Of Enjoyments: Ravine Trails, Bayview Golf & Country Club, Schools Are Nearby.",C4697317,Detached,https://www.zoocasa.com/toronto-on-real-estate/6687112-61-bowan-crt-toronto-on-m2k3a7-vow,"61 Bowan Crt, Toronto , Ontario, Canada",43.7968141,-79.3883062,
22,"230 - 139 Merton St, Toronto (C4730819) | Zoocasa",705000,699000,1 + 1 beds,2 baths,800–899 sq. ft.,1 parking,"Rarely Offered, Stunning Unique South West Facing 2 Storey Loft At ""The Metro"" Featuring 1 Br. + Den, 1.5 Baths, 1 Parking Space & 1 Locker! Walkout To Spacious Balcony From Living Room! Cathedral Ceilings In Living Room! Wainscotting! Incredible Prime Midtown Location! Corner Unit With Over 800 Sq Ft. Of Living Space! Steps To Yonge St-Davisville Subway! Amazing Kay Gardner Beltline Trail Behind The Building For Bikers, Joggers & Dog Walkers! Shows A 10++",C4730819,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6764786-230-139-merton-st-toronto-on-m4s3g7-vow," 139 Merton St, Toronto , Ontario, Canada",43.696804,-79.3919164,
23,"18 Edinborough Crt, Toronto (W4676548) | Zoocasa",1715000,1775000,8 + 1 beds,6 baths,N/A sq. ft.,7 parking,"Fantastic Investment Opportunity! Lrg Lot. 5 Unit Legal Multiplex In Great Location! Over 6000 Sq/Ft Of Living Space, Very Spacious Units, 4-2 Bdrm Units & 1 Bachlr. All W/Up'grd Kitchns, Bthrms & Flrs! Bldng In Great Condition! Plenty Of Storage & Multiple Lockers In Bsmnt! Coin-Op Washer & Dryer On Site! Lrg Private Yard W/Mature Greenery! Excellent Tenants! Lrg 4 Car Grg. + Lrg Surface Parking For 7 Cars- Total 11 Spaces! Close To All Major Amenities!",W4676548,Multiplex,https://www.zoocasa.com/toronto-on-real-estate/6639443-18-edinborough-crt-toronto-on-m6n2e8-vow,"18 Edinborough Crt, Toronto , Ontario, Canada",43.6718623,-79.5027923,
25,"86 Haliburton Ave, Toronto (W4732473) | Zoocasa",1722500,1749000,4 + 1 beds,5 baths,3500–5000 sq. ft.,4 parking,"Dreaming Of Tripling Your Square Footage? This Handsome, Exceptionally Spacious,Custom Built Home Delivers! 5400 Sq Ft All In. Tastefully Updated Thruout, 2 Family Rooms-Massive 2nd Floor Den With Cathedral Ceiling & Fireplace, Huge Eat-In Kitchen, Home Theater, Garage Access Thru Laundry Room, Stunning Muskoka-Like Backyard With Inground Pool. Top Notch Schools, 5 Min Walk Down Your Street To Echo Valley Trails/Mimico Creek!",W4732473,Detached,https://www.zoocasa.com/toronto-on-real-estate/6768802-86-haliburton-ave-toronto-on-m9b4y4-vow,"86 Haliburton Ave, Toronto , Ontario, Canada",43.6586625,-79.5465358,
27,"0308 - 125 Village Green Sq, Toronto (E4727818) | Zoocasa",590000,549000,2 + 1 beds,2 baths,900–999 sq. ft.,1 parking,"Must See One Of The Largest 2+1 In This Area! **Includes Approx. 200 Sft Private Use Terrace! **9 Ft Ceiling No Bulkhead!**Tridel Model Suite Before Purchase**Tones Of Storage** Meticulously Maintained** Functional Open Layout** High-Quality Laminate T/O.**Same Level Parking* 1 Min To 401*2Min Walk To Ttc. **Amazing Amenities: Indoor Pool, Gym, Recreational Centre, Billiards, Party And Theater Room. Daycare, Guest Suites, 24 Hrs Concierge.**",E4727818,Comm Element Condo,https://www.zoocasa.com/toronto-on-real-estate/6757956-0308-125-village-green-sq-toronto-on-m1s0g3-vow," 125 Village Green Sq, Toronto , Ontario, Canada",43.7774482,-79.2810949,
28,"605 - 80 Queen Wharf Rd, Toronto (C4726810) | Zoocasa",525000,535000,1 beds,1 baths,500–599 sq. ft.,no parking,"Spacious And Very Bright 1 Bedroom Condo. Located In The Newton Condos At Concord City Place Waterfront Community. Great Layout With Floor To Ceiling North Facing Juliet Balcony And Windows. Great Open West Views Over Open Space, Park And Library. Steps To Restaurants, Harbourfront, Shopping & Parks. Walk To Work. Amazing Facilities",C4726810,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6755663-605-80-queen-wharf-rd-toronto-on-m5v0j3-vow," 80 Queen Wharf Rd, Toronto , Ontario, Canada",43.6385113,-79.4000682,
29,"801 - 45 Silverstone Dr, Toronto (W4721981) | Zoocasa",420000,429000,3 beds,2 baths,1400–1599 sq. ft.,1 parking,"Opportunity For First Time Home Buyer. Spacious 3 Bedroom Corner Unit With Large Balcony And North East Exposure. Close To All Amenities,Walking Distance To Schools,Albion Mall,Park,Ttc Buses.",W4721981,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6744693-801-45-silverstone-dr-toronto-on-m9v4b1-vow," 45 Silverstone Dr, Toronto , Ontario, Canada",43.7417616,-79.5986202,
30,"47 - 2 Stonehill Crt, Toronto (E4734788) | Zoocasa",680000,698000,3 + 1 beds,2 baths,1400–1599 sq. ft.,1 parking,"Great Location! Spacious 3+1 Bedroom End Unit Like Semi, Private Driveway Not Shared Unlike Other Units! Convenient In-Law Bedroom Located On Ground Floor. Large Bright Family Room On Lower Floor That Walks Out To Large Fenced Yard. Large Bright Eat-In Kitchen. Quite Complex In The Heart Of Scarborough, Ample Visitor Parking Spaces And Steps To Finch/Warden 24-Hr Buses, School, Mall, Parks. Easy Access To 404/401.",E4734788,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6773104-47-2-stonehill-crt-toronto-on-m1w2v3-vow," 2 Stonehill Crt, Toronto , Ontario, Canada",43.7954931,-79.3127868,
31,"2 Golfwood Hts, Toronto (W4732743) | Zoocasa",740000,699900,3 + 1 beds,2 baths,N/A sq. ft.,2 parking,"1950'S Brick Bungalow In The Sought After Prestigious Golfwood Village Community, Steps To The Weston Golf And Country Club, House Is Sold In ""As-Is Condition"", Needs Updating. This Is A Fantastic Opportunity To Buy And Renovate To Your Taste. Newer Roof Shingles Aug 2015, Newer Central Air Aug 2018, Updated Vinyl Casement & Slider Windows, Hardwood Floors On Main Floor, Steps To The Ttc, Shopping & Schools. One Bus To Toronto Pearson International Airport",W4732743,Detached,https://www.zoocasa.com/toronto-on-real-estate/6769470-2-golfwood-hts-toronto-on-m9p3l7-vow,"2 Golfwood Hts, Toronto , Ontario, Canada",43.6988963,-79.5403005,
32,"103 Glengarry Ave, Toronto (C4723886) | Zoocasa",1964900,1999900,3 beds,3 baths,N/A sq. ft.,1 parking,"Sought After North Lawrence Park Home. Set Back From Street, This Detached Family Home Is Turn-Key W/Pride Of Ownership. Featuring Hardwood Floors, Fireplace, Recently Renovated Master Ensuite Bath & 3Pc. Second Flr Bath In 2019, Modern Eat-In Kitchen W/Granite Countertops, 3 Spacious Bedrooms, Family Room On Lower Level W/Walk-In To Garage & Walk-Out To Private Yard. Stroll To Starbucks & Subway. Close To 401, Great Schools Both Private&Public. Steps To Ttc.",C4723886,Detached,https://www.zoocasa.com/toronto-on-real-estate/6748832-103-glengarry-ave-toronto-on-m5m1e1-vow,"103 Glengarry Ave, Toronto , Ontario, Canada",43.7242627,-79.409326,
33,"102 Cree Ave, Toronto (E4727736) | Zoocasa",825000,829000,3 beds,3 baths,1500–2000 sq. ft.,4 parking,"Lovely Bright Home On 274.97 Ft Deep Lot With Inground Pool, Situated On A Quiet Dead-End Street In Sought After North Bluffs Neighbourhood. Large Main Floor Family Room With Walk-Out To A Gorgeous Backyard. Open Dining Room With Large Picture Window, Eat-In Kitchen, Main Floor Master Bedroom, Office And Bright Living Room. Two Additional Bright Bedrooms On The Second Floor. Large Rec Room And Storage Room In Basement. This Home Is An Entertainers' Delights!",E4727736,Detached,https://www.zoocasa.com/toronto-on-real-estate/6757920-102-cree-ave-toronto-on-m1m2a1-vow,"102 Cree Ave, Toronto , Ontario, Canada",43.7331055,-79.2270869,
34,"117 Grandravine Dr, Toronto (W4718705) | Zoocasa",765000,769900,4 + 1 beds,4 baths,N/A sq. ft.,6 parking,"Large Bright Semi Detached Bungalow In High Demand Area! 4 Bedrooms! 4 Baths! Living / Dining Room Combination With Large Front Window! Hardwood Floors Thru Out Main! Large 6 Car Parking Driveway! Separate Entrance To Finished Basement With 2nd Kitchen, Large Rec Room, Bedroom, 2 Baths & Large Laundry Area! Close To Schools, Comminity Centre, York Univeristy, Ttc & Parks! Show & Sell!",W4718705,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6737266-117-grandravine-dr-toronto-on-m3j1b3-vow,"117 Grandravine Dr, Toronto , Ontario, Canada",43.752556,-79.4932367,
35,"26 - 9 Pine St, Toronto (W4729261) | Zoocasa",500000,499900,2 beds,1 baths,800–899 sq. ft.,1 parking,"Look No Further! Fantastic Opportunity To Own A Fully Renovated 2 Bedroom + 1 Bath Townhome, 9 Ceilings, Laminate Floors, Modern Kitchen W/Less Than A Year Old, S/S Appliances, Washer And Dryer, Quartz Counters. Private Park For Residents, Gym, Party Room In A Fully Gated Complex With 24 Hour Surveillance. Steps To Ttc, Weston Go Station, Easy Access To Hwy 400/401. A Must See! Thank You For Showing.",W4729261,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6760901-26-9-pine-st-toronto-on-m9n0a6-vow," 9 Pine St, Toronto , Ontario, Canada",43.7010305,-79.5075653,
37,"88 Tecumseth St, Toronto (C4726151) | Zoocasa",1010000,975000,4 beds,3 baths,1500–2000 sq. ft.,no parking,"Location, Location, Location! Spacious Victorian Townhouse With Great Potential. Walk Out From Main Floor To Desk And Fenced Yard With Sunny West Exposure. Cathedral Ceiling With Skylight Over Stairway. Second Skylight In Main Bathroom. Vacant Basement Apartment. Steps To Ttc. An Underground Parking Space A Block Away Is Available For Long Term Rental.",C4726151,Att/Row/Twnhouse,https://www.zoocasa.com/toronto-on-real-estate/6753760-88-tecumseth-st-toronto-on-m5y3h7-vow,"88 Tecumseth St, Toronto , Ontario, Canada",43.6438182,-79.4055531,
39,"62 Kingsdale Ave, Toronto (C4732127) | Zoocasa",1930000,1788000,5 + 1 beds,4 baths,N/A sq. ft.,4 parking,"*** Walk 4-5 Minutes To Yonge St, Ttc, Earl Haig S.S Or Mckee P.S.**** Updated Charming 2-Storey Home Nestled On Prime 50' X 122' Lot On Most Desirable Part Of Prestigious Kingsdale Ave!!! Renovated Top To Bottom!!(2013) & Well Kept Ever Since. Updated Kitchen W/ B/I Appliances & Quartz Counters, Move In Condition! Prime Lot!! On Prime St. 5 Bedrooms, 4 Baths, Finished Basement W Sep Entrance! Rare Investment Opportunity: Location, Lot Size & Move-In Ready!!",C4732127,Detached,https://www.zoocasa.com/toronto-on-real-estate/6767940-62-kingsdale-ave-toronto-on-m2n3w4-vow,"62 Kingsdale Ave, Toronto , Ontario, Canada",43.7711307,-79.4096142,
41,"581 Evans Ave, Toronto (W4731219) | Zoocasa",720000,779000,3 beds,1 baths,N/A sq. ft.,2 parking,"Desirable Location In The Alderwood Community! Attention Builders, Investors, Large Corner Lot 42X125. Motivated Seller. Home Is Not Livable, Showings To Walk The Lot Only! Steps Away To Ttc, Shopping, Highways & Schools.",W4731219,Detached,https://www.zoocasa.com/toronto-on-real-estate/6765774-581-evans-ave-toronto-on-m8w2w3-vow,"581 Evans Ave, Toronto , Ontario, Canada",43.6111455,-79.5456778,
